TF,Cell
RUNX1T1,"""CD14_Proinflam Mono"""
SIRT6,"""CD14_Proinflam Mono"""
NFYC,"""CD14_Proinflam Mono"""
IRF3,"""CD14_Proinflam Mono"""
CREB1,"""CD14_Proinflam Mono"""
LYL1,"""CD14_Proinflam Mono"""
PRAME,"""CD14_Proinflam Mono"""
ZIC2,"""CD14_Proinflam Mono"""
ETS1,"""CD14_Proinflam Mono"""
RUNX1,"""NK CD56dim_2"""
CD74,"""NK CD56dim_2"""
RBPJ,"""NK CD56dim_2"""
MYB,"""NK CD56dim_2"""
NOTCH1,"""NK CD56dim_2"""
MED1,"""NK CD56dim_2"""
FOXP3,"""NK CD56dim_2"""
STAT5,"""NK CD56dim_2"""
MAF,"""NK CD56dim_2"""
CDK9,"""NK CD56dim_2"""
ETS1,"""NK CD56dim_2"""
GLI2,"""NK CD56dim_2"""
RELA,"""NK CD56dim_2"""
BCL6,"""NK CD56dim_2"""
TCF12,"""NK CD56dim_2"""
CEBPA,"""NK CD56dim_2"""
ARID5B,"""NK CD56dim_2"""
BRD4,"""NK CD56dim_2"""
CDK8,"""NK CD56dim_2"""
MLLT1,"""NK CD56dim_2"""
AFF1,"""NK CD56dim_2"""
RXRG,"""NK CD56dim_2"""
CDK7,"""NK CD56dim_2"""
RUNX1T1,"""NK CD56dim_2"""
ZBTB16,"""NK CD56dim_2"""
INO80,"""NK CD56dim_2"""
SPI1,"""NK CD56dim_2"""
CBFB,"""NK CD56dim_2"""
GTF2B,"""NK CD56dim_2"""
FLI1,"""NK CD56dim_2"""
LMO2,"""NK CD56dim_2"""
PML,"""NK CD56dim_2"""
TCF7L1,"""NK CD56dim_2"""
REL,"""NK CD56dim_2"""
KMT2A,"""NK CD56dim_2"""
TAT,"""NK CD56dim_2"""
NCOR2,"""NK CD56dim_2"""
SNAPC1,"""NK CD56dim_2"""
KMT2D,"""NK CD56dim_2"""
SMAD5,"""NK CD56dim_2"""
STAT5B,"""NK CD56dim_2"""
YY1,"""NK CD56dim_2"""
AFF4,"""NK CD56dim_2"""
HSF1,"""NK CD56dim_2"""
TAL1,"""NK CD56dim_2"""
MAFB,"""NK CD56dim_2"""
CREBBP,"""NK CD56dim_2"""
BCL11B,"""NK CD56dim_2"""
LYL1,"""NK CD56dim_2"""
POLR2A,"""NK CD56dim_2"""
IKZF1,"""NK CD56dim_2"""
SUPT5H,"""NK CD56dim_2"""
MORC2,"""NK CD56dim_2"""
NFATC1,"""NK CD56dim_2"""
ZBED1,"""NK CD56dim_2"""
NELFE,"""NK CD56dim_2"""
LMO1,"""NK CD56dim_2"""
ELK4,"""NK CD56dim_2"""
GRIP1,"""NK CD56dim_2"""
RAG2,"""NK CD56dim_2"""
IRAK4,"""NK CD56dim_2"""
GABPA,"""NK CD56dim_2"""
PAX5,"""NK CD56dim_2"""
SKI,"""NK CD56dim_2"""
KAT5,"""NK CD56dim_2"""
ARNTL,"""NK CD56dim_2"""
ELK1,"""NK CD56dim_2"""
FOXO1,"""NK CD56dim_2"""
NELFA,"""NK CD56dim_2"""
GMEB2,"""NK CD56dim_2"""
IRF1,"""NK CD56dim_2"""
ZIC2,"""NK CD56dim_2"""
ZBTB33,"""NK CD56dim_2"""
RBL2,"""NK CD56dim_2"""
SND1,"""NK CD56dim_2"""
TAF1,"""NK CD56dim_2"""
CD59,"""NK CD56dim_2"""
HMGN1,"""NK CD56dim_2"""
KDM6A,"""NK CD56dim_2"""
U2AF1,"""NK CD56dim_2"""
CDK12,"""NK CD56dim_2"""
LEF1,"""NK CD56dim_2"""
NFYA,"""NK CD56dim_2"""
IRF3,"""NK CD56dim_2"""
RPE,"""NK CD56dim_2"""
PAF1,"""NK CD56dim_2"""
ASH1L,"""NK CD56dim_2"""
TRAF7,"""NK CD56dim_2"""
KLF15,"""NK CD56dim_2"""
TLX1,"""NK CD56dim_2"""
CENPC,"""NK CD56dim_2"""
NBN,"""NK CD56dim_2"""
BRCA1,"""NK CD56dim_2"""
NRF1,"""NK CD56dim_2"""
STAT2,"""NK CD56dim_2"""
STAT5A,"""NK CD56dim_2"""
TERF2,"""NK CD56dim_2"""
VDR,"""NK CD56dim_2"""
KAT8,"""NK CD56dim_2"""
ELL2,"""NK CD56dim_2"""
ETV6,"""NK CD56dim_2"""
LANA,"""NK CD56dim_2"""
ZNF100,"""NK CD56dim_2"""
GMEB1,"""NK CD56dim_2"""
DEAF1,"""NK CD56dim_2"""
TBP,"""NK CD56dim_2"""
EPC1,"""NK CD56dim_2"""
MYH11,"""NK CD56dim_2"""
HDAC6,"""NK CD56dim_2"""
PHF8,"""NK CD56dim_2"""
JMJD1C,"""NK CD56dim_2"""
MED12,"""NK CD56dim_2"""
E2F4,"""NK CD56dim_2"""
NCOR1,"""NK CD56dim_2"""
TDRD3,"""NK CD56dim_2"""
TP63,"""NK CD56dim_2"""
ZNF740,"""NK CD56dim_2"""
EBNA3,"""NK CD56dim_2"""
RB1,"""NK CD56dim_2"""
POU3F2,"""NK CD56dim_2"""
ELK3,"""NK CD56dim_2"""
ZNF131,"""NK CD56dim_2"""
NFYB,"""NK CD56dim_2"""
ZSCAN22,"""NK CD56dim_2"""
STAT4,"""NK CD56dim_2"""
ZFX,"""NK CD56dim_2"""
POLR2B,"""NK CD56dim_2"""
CPSF3L,"""NK CD56dim_2"""
NFKB1,"""NK CD56dim_2"""
EGR2,"""NK CD56dim_2"""
ELF1,"""NK CD56dim_2"""
TAF7,"""NK CD56dim_2"""
MYC,"""NK CD56dim_2"""
ZBTB11,"""NK CD56dim_2"""
ELF2,"""NK CD56dim_2"""
GTF2E2,"""NK CD56dim_2"""
CHD1,"""NK CD56dim_2"""
FUS,"""NK CD56dim_2"""
PHF6,"""NK CD56dim_2"""
OGT,"""NK CD56dim_2"""
SP1,"""NK CD56dim_2"""
STAT3,"""NK CD56dim_2"""
